training/00010.png 354,32,655.5412388392857,394.16452205882354,4 
training/00010.png 214,417,492.92713913690477,728.6727941176471,5 
training/00009.png 44,17,389.9486784578696,381.0410125198728,0 
training/00009.png 411,13,724.8814089825119,366.049980127186,0 
training/00009.png 389,450,741.88528418124,777.3913205484896,3 
training/00009.png 42,455,358.95734797297297,779.5091414944357,4 
training/00008.png 64,39,380.4828659081876,394.173427563593,1 
training/00008.png 380,22,724.326404759539,392.4366305643879,0 
training/00008.png 364,449,681.0505887321144,794.9391395071542,4 
training/00006.png 241,9,477.22364368044515,241.3847004173291,1 
training/00006.png 25,24,234.86223171701113,247.77464228934818,1 
training/00006.png 212,279,443.11507601351354,525.2202653020668,4 
training/00006.png 8,278,206.89668620826708,521.0194753577107,4 
training/00005.png 102,18,329.1920955882353,263.2140053656598,2 
training/00005.png 322,20,534.3292180047695,246.71589328298887,2 
training/00005.png 67,277,283.72905902225756,518.0522655007949,4 
training/00005.png 289,285,487.9351897853736,530.3380862480127,4 
training/00004.png 239,255,481.5297968004769,499.3222873608903,1 
training/00004.png 258,14,476.2470501291733,232.95886948529412,3 
training/00004.png 45,12,251.33378254173292,238.89889084856915,3 
training/00004.png 29,276,242.09930196740856,505.0764109697933,1 
training/00003.png 90,25,306.02702702702703,264.4628378378378,3 
training/00003.png 317,25,523.0033783783783,251.36824324324326,3 
training/00003.png 77,292,300.097972972973,529.2837837837837,2 
training/00003.png 303,279,504.68581081081084,511.80405405405406,2 
training/00002.png 35,7,142.43342607313195,133.65441176470586,5 
training/00002.png 168,7,256.0315977742448,133.9618441971383,5 
training/00002.png 293,7,384.516693163752,132.88970588235293,5 
training/00002.png 153,173,267.4346184419714,308.66295707472176,2 
training/00001.png 73,5,192.43104133545307,114.79988076311605,0 
training/00001.png 268,7,382.57412559618444,116.25735294117646,0 
training/00001.png 187,18,267.614467408585,119.33127980922097,5 
training/00001.png 84,106,195.2156200317965,218.0862480127186,2 
training/00001.png 275,110,388.35472972972974,216.0435214626391,1 
training/00001.png 131,213,239.875,330.1730922098569,3 
training/00001.png 233,214,343.01172496025436,330.46263910969793,4 
training/00001.png 28,211,133.59141494435613,330.27861685214623,3 
